candidato_id;bairro;CD_SETOR;score_preliminar;dist_rede_mais_perto;domicilios_ocupados;renda_media_responsavel;zoneamento_verificado;domicilios_anel5;pct_apartamento_anel5;renda_media_anel5;pct_18a24_anel5;area_anel5_km2;domicilios_anel10;pct_apartamento_anel10;renda_media_anel10;pct_18a24_anel10;area_anel10_km2;domicilios_anel15;pct_apartamento_anel15;renda_media_anel15;pct_18a24_anel15;area_anel15_km2;domicilios_efetivo;pct_apartamento_efetivo;renda_media_efetivo;status_isocrona;dist_campus_km;suspeita_estudantil;domicilios_captacao_efetivo;pct_apartamento_captacao_efetivo;renda_media_captacao_efetivo;pct_18a24_captacao_efetivo;potencial_mensal;forca_concorrencia;n_concorrentes_15min;n_sem_avaliacao_15min;n_clinicas_sem_loja;saturacao;demanda_capturada;aluguel_estimado_regiao;aluguel_e_estimado;aluguel_disponivel;custo_fixo_mensal;sacos_breakeven;domicilios_entrega_viavel;custo_por_entrega;teste_absoluto_passou;teste_absoluto_motivo;filtro_forca_passou;filtro_vitalidade_passou;taxa_mortalidade;vitalidade_comercial_score;acesso_score;oferta_imovel_score;oferta_imovel_disponivel;score_final;excluido_conhecimento_local;motivo_exclusao_conhecimento_local;score_final_bruto;fator_penalizacao_conhecimento_local;motivo_penalizacao_conhecimento_local;duplicata_geografica;excedente_cap_bairro;n_imoveis_no_teto;reais_m2_medio;aluguel_mediano_bairro;publico_estimado_meta;volume_busca_mensal;pedestres_15min_medio;carros_15min_medio;custo_por_conversa;marcas_bloqueadas_no_bairro
C0115;Planalto;317020605001237;16916.0;3429.5281760811467;138.0;2304.1;False;49589.61413098585;0.31062785628254685;3235.3592834224064;0.10163698600194639;26.70103787947452;74970.08854017194;0.30464948264349506;4547.581588015386;0.10143519580102965;67.69917550705571;88542.43930580269;0.2683195837262345;3779.3550322234164;0.11145855322367564;123.70206675382786;84683.3890506263;0.30435180271620443;3698.83587928139;completo;4.061141280235425;False;68332.13626602883;0.3089880743821939;3595.2829874638105;0.10158163785224722;5067325.714924018;12722.250631086245;262;32;69;398.30418861126947;95487.67030163211;4000.0;True;False;5500.0;157.14285714285714;88574.06017187526;7.5;True;passou;True;True;0.3124018838304552;0.6875981161695448;0.75;0.0;False;0.765589826406261;False;;0.765589826406261;1.0;;False;False;;;;;;;;;
C0174;Luizote de Freitas;317020605000393;16502.0;4904.207264315287;158.0;2144.23;False;34092.70994342271;0.34353727283545743;2800.876459924626;0.1069923140215118;19.22833847825898;74286.6330938414;0.2729807546242043;3703.261121717175;0.0994105615472256;65.7610973275495;73923.86396911334;0.27496665113267327;4714.069885098855;0.11168333155708894;129.2022886641166;67485.41792317854;0.308842478516674;3358.113232048621;completo;5.394071764018812;False;52664.368216883064;0.3186560943546245;3119.0950228248225;0.10431867108542761;3918888.400148131;9263.545581230233;227;29;61;423.04411046333814;106658.04760504502;4000.0;True;False;5500.0;157.14285714285714;72721.75915222024;7.5;True;passou;True;True;0.2958579881656805;0.7041420118343196;1.15;0.0;False;0.7214194192322944;False;;0.7214194192322944;1.0;;False;False;;;;;;;;;
C0263;Luizote de Freitas;317020605001217;15857.0;4261.427168533312;156.0;2881.01;False;34518.08856995145;0.31975012821787624;2721.5084829995526;0.10735571177841836;17.404272110934812;80655.14868467914;0.2911041601148773;4059.485178905484;0.09826055515881546;65.30523170354346;73928.94360122186;0.28651593067692227;4442.976683765957;0.112808424889947;127.32122344988142;70140.28496971133;0.3047180735603226;3441.4482557721713;completo;4.640447100495547;False;54681.87574112123;0.30918700842155555;3214.883609046006;0.10400189847409136;4055346.6341013005;10710.98178850843;232;29;62;378.61577156747575;108450.40945122189;4000.0;True;False;5500.0;157.14285714285714;76458.76588598458;7.5;True;passou;True;True;0.2958579881656805;0.7041420118343196;1.15;0.0;False;0.703977257552467;False;;0.703977257552467;1.0;;False;False;;;;;;;;;
C0010;Chácaras Tubalina e Quartel;317020605001405;18131.0;3655.429326651234;125.0;3928.97;False;42697.254530062484;0.3101690131944198;2971.663625633613;0.10371214363390749;22.626521434438246;75786.89316640818;0.29151543325599094;4473.298324730193;0.10059909002018087;67.43879010209359;83248.89681990031;0.30094633498549883;3967.7147555377683;0.11196249966017295;124.1340702873348;77547.55682029537;0.30279841756786824;3592.231155130176;completo;4.141842823237488;False;61643.97782166453;0.30443570022565514;3433.201932119279;0.10275532404673167;4563941.503624655;11784.408127163331;242;31;63;387.28644276199714;123377.18988549846;4000.0;True;False;5500.0;157.14285714285714;82106.43897659473;7.5;True;passou;True;True;0.342756183745583;0.657243816254417;1.15;0.0;False;0.6395924569142626;False;;0.6395924569142626;1.0;;False;False;;;;;;;;;
C0299;Pampulha;317020605000451;15661.0;3154.1025079932847;152.0;3064.15;False;38604.00315665301;0.3939082478731024;4823.872258985512;0.11443172653955588;22.114394248063782;87281.34417347301;0.2746686912390199;4125.508811176666;0.10379778575211078;83.80581816876895;101218.21552573817;0.2498689531247991;3434.657929728059;0.10486251811336342;137.7522248602103;79274.29516994239;0.32956802131351115;4377.3805605178495;completo;2.161145856862161;False;60424.33920002126;0.350848659140074;4571.6804218327625;0.11059161567497153;4547681.064638069;12517.079232167926;275;32;70;363.31806967801884;76660.31983039551;4000.0;True;False;5500.0;157.14285714285714;83990.30212685897;7.5;True;passou;True;True;0.3081395348837209;0.6918604651162791;0.9;0.0;False;0.6302732640626096;False;;0.6302732640626096;1.0;;False;False;;;;;;;;;
C0254;Granada;317020605001360;15914.0;5100.280815087478;149.0;2527.06;False;29452.897247256646;0.1565031727768565;3431.28206843915;0.10563122268798047;19.200553860001058;51982.69277209299;0.5000548114623414;6200.755888092775;0.10966185938714931;48.703578263133956;96998.84494271124;0.23554847892692826;3185.841924964745;0.10740525800851403;105.97148020881126;57346.72421176031;0.278869169888663;4268.416306976688;completo;2.678032956254242;False;42448.570440279895;0.26168185782975945;4279.159306790148;0.10686520622992089;3094857.3975192616;10510.663441514915;230;27;58;294.4492909263201;96310.84607449632;4000.0;True;False;5500.0;157.14285714285714;56483.897488744995;7.5;True;passou;True;True;0.2964426877470356;0.7035573122529644;1.15;0.0;False;0.46900804696620335;False;;0.46900804696620335;1.0;;False;False;;;;;;;;;
C0092;Chácaras Tubalina e Quartel;317020605001402;17033.0;4251.373880323739;11.0;3072.73;False;32442.76612045277;0.3420478483410779;2823.606024674532;0.10534014589824975;16.307197547993127;70430.93867831836;0.27473245616156317;4058.786800322325;0.10075113373059476;68.78299059617655;74700.87634377931;0.3109648790689127;4426.715027687978;0.11099179895486934;122.65827175068647;64563.68229224212;0.3127500662476786;3480.68741698336;completo;4.8861310422637265;False;50050.500790032354;0.31836633574946693;3258.141843962541;0.10372573430659525;3724001.067970373;9979.924052390383;218;29;59;373.14923925482213;120878.27804660173;4000.0;True;False;5500.0;157.14285714285714;69066.85423317831;7.5;True;passou;True;True;0.342756183745583;0.657243816254417;0.4;0.0;False;0.37992997464887335;False;;0.37992997464887335;1.0;;False;False;;;;;;;;;
C0080;Laranjeiras;317020605000365;17109.0;6027.796215699128;187.0;2778.27;False;25407.414571884387;0.12577925861195857;2808.678215346695;0.10781426753262849;17.540506944735075;41061.6210736715;0.43971856367050444;5950.646866992242;0.11161067203521527;45.67952061855158;83379.2682098256;0.2859334503274787;3972.106217751782;0.1076891617913864;103.41824822111207;48116.90876865197;0.247298989508783;3948.726342274629;completo;2.334822349953394;False;35672.81984030226;0.2161201458908078;3712.8282571487375;0.1089067416055043;2557939.9462050274;9568.97940461643;200;26;52;267.31585867673436;72533.41545246434;4000.0;True;False;5500.0;157.14285714285714;46759.45753019356;7.5;True;passou;True;True;0.3071625344352617;0.6928374655647382;1.15;0.0;False;0.3489556251042324;False;;0.3489556251042324;1.0;;False;False;;;;;;;;;
C0289;Santa Mônica;317020605000688;15716.0;3022.0947622894796;140.0;5745.56;False;32021.02349326751;0.43784317783497934;4698.864210497225;0.11977824412974887;18.714003480686753;88870.84002048006;0.27166250754478516;4096.270769859915;0.10342839716825566;75.4107223134279;78809.87594848448;0.2229069505008812;3842.825133489822;0.10285587143860422;119.15404546397754;71006.80509528398;0.341191522413449;4339.884840090543;completo;2.1792964091599814;False;54238.73349838752;0.36977090359808623;4452.024997050892;0.1130808871859451;4109232.315980441;12975.999273471682;249;31;63;316.67945022017796;80343.07990895827;4000.0;True;False;5500.0;157.14285714285714;78233.86030391713;7.5;True;passou;True;True;0.2968315730961645;0.7031684269038355;1.15;0.0;False;0.2750879339843476;False;;0.5501758679686952;0.5;"uma das maiores concentrações de concorrência do setor na cidade; proximidade de Petz e Cobasi; alta presença de moradia estudantil (UFU) infla % apartamento sem demanda pet correspondente";False;False;;;;;;;;;
