candidato_id;bairro;CD_SETOR;score_preliminar;dist_rede_mais_perto;domicilios_ocupados;renda_media_responsavel;zoneamento_verificado;domicilios_10min;pct_apartamento_10min;renda_media_10min;status_isocrona;potencial_mensal;forca_concorrencia;n_concorrentes_15min;n_sem_avaliacao_15min;n_clinicas_sem_loja;saturacao;aluguel_estimado_regiao;aluguel_disponivel;custo_fixo_mensal;sacos_breakeven;teste_absoluto_passou;teste_absoluto_motivo;acesso_score;oferta_imovel_score;oferta_imovel_disponivel;score_final;duplicata_geografica;n_imoveis_no_teto;reais_m2_medio;aluguel_mediano_bairro;publico_estimado_meta;volume_busca_mensal;pedestres_15min_medio;carros_15min_medio;custo_por_conversa;marcas_bloqueadas_no_bairro
C0089;Presidente Roosevelt;317020605000112;17485.0;3385.053958673153;146.0;2450.63;False;154280.12794505298;0.30811807984181067;4100.503082471658;completo;11437451.95937021;15105.008376231946;277;34;72;757.196002444281;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.8110388779355874;False;;;;;;;;;
C0221;Presidente Roosevelt;317020605001884;16881.0;3794.4217646529105;183.0;3683.91;False;136757.74597440526;0.3025037940661647;3959.5868598211264;completo;10118172.291775879;12517.914397154644;258;32;68;808.2953733950894;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.7379206158881155;False;;;;;;;;;
C0291;Centro;317020605000007;16631.0;1709.9872883930263;143.0;4780.52;False;176664.46488649398;0.3236574384361147;4241.770054722857;completo;13169374.162139833;21286.67347742373;300;36;74;618.6675516072081;;False;1500.0;42.857142857142854;True;passou;1.0;0.0;False;0.6533242137099032;False;;;;;;;;;
C0295;Presidente Roosevelt;317020605000096;16613.0;2782.1724480933135;143.0;4019.95;False;138298.96080697398;0.30336523655851794;4092.0652446902222;completo;10235345.973030813;15221.079029551878;271;35;70;672.4454917525088;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.6332892849957649;False;;;;;;;;;
C0233;Santa Mônica;317020605000694;16840.0;1779.9407765905773;174.0;5492.78;False;145331.4994306718;0.31530389912277146;4392.435780275694;completo;10801621.697130771;16982.616490170534;291;36;72;636.0399001757299;;False;1500.0;42.857142857142854;True;passou;1.0;0.0;False;0.6261178549872943;False;;;;;;;;;
C0124;Santa Mônica;317020605000679;17260.0;1514.8960827261194;167.0;3474.05;False;142670.18899529282;0.30024341374075564;4274.186955224932;completo;10547097.186680146;17291.11463049074;272;36;68;609.972081735069;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.6203374039351086;False;;;;;;;;;
C0074;Chácaras Tubalina e Quartel;317020605001390;17540.0;3753.953142047545;127.0;2784.12;False;122053.79166305007;0.30532713950970725;4008.3768127838543;completo;9039381.495735835;11537.253680033122;249;31;66;783.4950800622323;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.6080383494950833;False;;;;;;;;;
C0064;Luizote de Freitas;317020605000392;17689.0;4476.848880290762;150.0;2346.11;False;112466.34395231586;0.29530265887107643;3631.076354054484;completo;8299565.215482224;9919.34784091786;230;29;62;836.7047258133298;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.5749605936239088;False;;;;;;;;;
C0284;Santa Mônica;317020605002038;16642.0;2531.974682167289;76.0;8050.37;False;130093.52421212787;0.3153386836763631;4390.297431646702;completo;9669193.543949049;15201.125741202775;281;33;72;636.0840446007641;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.5678265346906419;False;;;;;;;;;
C0290;Santa Mônica;317020605002027;16632.0;2325.6874096041083;94.0;4050.73;False;125371.7444021145;0.32031210055254306;4285.038130349229;completo;9334708.622043135;15454.38100726467;256;32;65;604.0169850643097;;False;1500.0;42.857142857142854;True;passou;1.15;0.0;False;0.4805152255260929;False;;;;;;;;;
